001,Bulbasaur,45,49,49,65,65,45,53,00,8,64,318
002,Ivysaur,60,62,63,80,80,60,67,50,8,90,405
003,Venusaur,80,82,83,100,100,80,87,50,8,90,525
004,Charmander,39,52,43,60,50,65,51,50,9,00,309
005,Charmeleon,58,64,58,80,65,80,67,50,9,23,405
006,Charizard,78,84,78,109,85,100,89,00,11,58,534
007,Squirtle,44,48,65,50,64,43,52,33,8,92,314
008,Wartortle,59,63,80,65,80,58,67,50,9,14,405
009,Blastoise,79,83,100,85,105,78,88,33,10,39,530
010,Caterpie,45,30,35,20,20,45,32,50,10,31,195
011,Metapod,50,20,55,25,25,30,34,17,13,36,205
012,Butterfree,60,45,50,90,80,70,65,83,15,92,395
013,Weedle,40,35,30,20,20,50,32,50,10,70,195
014,Kakuna,45,25,50,25,25,35,34,17,10,17,205
015,Beedrill,65,90,40,45,80,75,65,83,18,12,395
016,Pidgey,40,45,40,35,35,56,41,83,7,20,251
017,Pidgeotto,63,60,55,50,50,71,58,17,7,47,349
018,Pidgeot,83,80,75,70,70,101,79,83,10,61,479
019,Rattata,30,56,35,25,35,72,42,17,16,47,253
020,Raticate,55,81,60,50,70,97,68,83,16,16,413
021,Spearow,40,60,30,31,31,70,43,67,15,71,262
022,Fearow,65,90,65,61,61,100,73,67,15,45,442
023,Ekans,35,60,44,40,54,55,48,00,8,93,288
024,Arbok,60,85,69,65,79,80,73,00,8,93,438
025,Pikachu,35,55,40,50,50,90,53,33,17,72,320
026,Raichu,60,90,55,90,80,110,80,83,18,80,485
027,Sandshrew,50,75,85,20,30,40,50,00,23,27,300
028,Sandslash,75,100,110,45,55,65,75,00,23,27,450
029,Nidorana,55,47,52,40,40,41,45,83,5,98,275
030,Nidorina,70,62,67,55,55,56,60,83,5,98,365
031,Nidoqueen,90,92,87,75,85,76,84,17,6,52,505
032,Nidorano,46,57,40,40,40,50,45,50,6,37,273
033,Nidorino,61,72,57,55,55,65,60,83,6,12,365
034,Nidoking,81,102,77,85,75,85,84,17,8,80,505
035,Clefairy,70,45,48,60,65,35,53,83,12,18,323
036,Clefable,95,70,73,85,90,60,78,83,12,18,473
037,Vulpix,38,41,40,50,65,65,49,83,11,36,299
038,Ninetales,73,76,75,81,100,100,84,17,11,45,505
039,Jigglypuff,115,45,20,45,25,20,45,00,33,04,270
040,Wigglytuff,140,70,45,85,50,45,72,50,33,51,435
041,Zubat,40,45,35,30,40,55,40,83,7,86,245
042,Golbat,75,80,70,65,75,90,75,83,7,86,455
043,Oddish,45,50,55,75,65,30,53,33,14,34,320
044,Gloom,60,65,70,85,75,40,65,83,13,97,395
045,Vileplume,75,80,85,100,90,50,80,00,15,55,480
046,Paras,35,70,55,45,55,25,47,50,14,65,285
047,Parasect,60,95,80,60,80,30,67,50,20,77,405
048,Venonat,60,55,50,40,55,45,50,83,6,72,305
049,Venomoth,70,65,60,90,75,90,75,00,11,55,450
050,Diglett,10,55,25,35,45,95,44,17,26,84,265
051,Dugtrio,35,80,50,50,70,120,67,50,27,65,405
052,Meowth,40,45,35,40,40,90,48,33,18,86,290
053,Persian,65,70,60,65,65,115,73,33,18,86,440
054,Psyduck,50,52,48,65,50,55,53,33,5,65,320
055,Golduck,80,82,78,95,80,85,83,33,5,65,500
056,Mankey,40,80,35,35,45,70,50,83,17,66,305
057,Primeape,65,105,60,60,70,95,75,83,17,66,455
058,Growlithe,55,70,45,70,50,60,58,33,9,43,350
059,Arcanine,90,110,80,100,80,95,92,50,10,70,555
060,Poliwag,40,50,40,40,40,90,50,00,18,26,300
061,Poliwhirl,65,65,65,50,50,90,64,17,13,36,385
062,Poliwrath,90,85,95,70,90,70,83,33,9,86,500
063,Abra,25,20,15,105,55,90,51,67,35,08,310
064,Kadabra,40,35,30,120,70,105,66,67,35,08,400
065,Alakazam,55,50,45,135,95,120,83,33,35,43,500
066,Machop,70,80,50,35,35,35,50,83,18,12,305
067,Machoke,80,100,70,50,60,45,67,50,18,65,405
068,Machamp,90,130,80,65,85,55,84,17,23,70,505
069,Bellsprout,50,75,35,70,30,40,50,00,17,08,300
070,Weepinbell,65,90,50,85,45,55,65,00,17,08,390
071,Victreebel,80,105,65,100,60,70,80,00,17,08,480
072,Tentacool,40,40,35,50,100,70,55,83,22,81,335
073,Tentacruel,80,70,65,80,120,100,85,83,18,80,515
074,Geodude,40,80,100,30,30,20,50,00,29,44,300
075,Graveler,55,95,115,45,45,35,65,00,29,44,390
076,Golem,80,110,130,55,65,45,80,83,30,20,485
077,Ponyta,50,85,55,65,65,90,68,33,14,62,410
078,Rapidash,65,100,70,80,80,105,83,33,14,62,500
079,Slowpoke,90,65,65,40,40,15,52,50,23,94,315
080,Slowbro,95,75,110,100,80,30,81,67,25,93,490
081,Magnemite,25,35,70,95,55,45,54,17,23,17,325
082,Magneton,50,60,95,120,70,70,77,50,23,41,465
083,Farfetchd,52,65,55,58,62,60,58,67,4,31,352
084,Doduo,35,85,45,35,35,75,51,67,20,55,310
085,Dodrio,60,110,70,60,60,100,76,67,20,55,460
086,Seel,65,45,55,45,70,45,54,17,10,17,325
087,Dewgong,90,70,80,70,95,70,79,17,10,17,475
088,Grimer,80,80,50,40,50,25,54,17,20,09,325
089,Muk,105,105,75,65,100,50,83,33,21,34,500
090,Shellder,30,65,100,45,25,40,50,83,25,40,305
091,Cloyster,50,95,180,85,45,70,87,50,44,98,525
092,Gastly,30,35,30,100,35,80,51,67,27,79,310
093,Haunter,45,50,45,115,55,95,67,50,27,35,405
094,Gengar,60,65,60,130,75,110,83,33,27,03,500
095,Onix,35,45,160,30,45,70,64,17,44,67,385
096,Drowzee,60,48,45,43,90,42,54,67,16,89,328
097,Hypno,85,73,70,73,115,67,80,50,16,41,483
098,Krabby,30,105,90,25,25,50,54,17,32,07,325
099,Kingler,55,130,115,50,50,75,79,17,32,07,475
100,Voltorb,40,30,50,55,55,100,55,00,21,98,330
101,Electrode,60,50,70,80,80,140,80,00,28,87,480
102,Exeggcute,60,40,80,60,45,40,54,17,14,26,325
103,Exeggutor,95,95,85,125,65,55,86,67,22,67,520
104,Cubone,50,50,95,40,50,35,53,33,19,51,320
105,Marowak,60,80,110,50,80,45,70,83,22,06,425
106,Hitmonlee,50,120,53,35,110,87,75,83,31,88,455
107,Hitmonchan,50,105,79,35,110,76,75,83,26,97,455
108,Lickitung,90,55,75,60,75,30,64,17,19,02,385
109,Koffing,40,65,95,60,45,35,56,67,20,14,340
110,Weezing,65,90,120,85,70,60,81,67,20,14,490
111,Rhyhorn,80,85,95,30,30,25,57,50,29,55,345
112,Rhydon,105,130,120,45,45,40,80,83,38,23,485
113,Chansey,250,5,5,35,105,50,75,00,85,20,450
114,Tangela,65,55,115,100,40,60,72,50,26,26,435
115,Kangaskhan,105,95,80,40,80,90,81,67,20,55,490
116,Horsea,30,40,70,70,25,60,49,17,18,35,295
117,Seadra,55,65,95,95,45,85,73,33,19,51,440
118,Goldeen,45,67,60,35,50,63,53,33,11,12,320
119,Seaking,80,92,65,65,80,68,75,00,9,90,450
120,Staryu,30,45,55,70,55,85,56,67,17,48,340
121,Starmie,60,75,85,100,85,115,86,67,17,48,520
122,Mr.Mime,40,45,65,100,120,90,76,67,29,11,460
123,Scyther,70,110,80,55,80,105,83,33,19,08,500
124,Jynx,65,50,35,115,95,95,75,83,28,05,455
125,Electabuzz,65,83,57,95,85,105,81,67,16,44,490
126,Magmar,65,95,57,100,85,93,82,50,16,00,495
127,Pinsir,65,125,100,55,70,85,83,33,23,57,500
128,Tauros,75,100,95,40,70,110,81,67,23,21,490
129,Magikarp,20,10,55,15,20,80,33,33,25,44,200
130,Gyarados,95,125,79,60,100,81,90,00,20,22,540
131,Lapras,130,85,80,85,95,60,89,17,21,10,535
132,Ditto,48,48,48,48,48,48,48,00,0,00,288
133,Eevee,55,55,50,45,65,55,54,17,6,07,325
134,Vaporeon,130,65,60,110,95,65,87,50,26,26,525
135,Jolteon,65,65,60,110,95,130,87,50,26,26,525
136,Flareon,65,130,60,95,110,65,87,50,26,26,525
137,Porygon,65,60,70,85,75,40,65,83,13,97,395
138,Omanyte,35,40,100,90,55,35,59,17,26,37,355
139,Omastar,70,60,125,115,70,55,82,50,27,20,495
140,Kabuto,30,80,90,55,45,55,59,17,20,29,355
141,Kabutops,60,115,105,65,70,80,82,50,20,56,495
142,Aerodactyl,80,105,65,60,75,130,85,83,24,40,515
143,Snorlax,160,110,65,65,110,30,90,00,41,93,540
144,Articuno,90,85,100,95,125,85,96,67,13,74,580
145,Zapdos,90,90,85,125,90,100,96,67,13,44,580
146,Moltres,90,100,90,125,85,90,96,67,13,44,580
147,Dratini,41,64,45,50,50,50,50,00,7,09,300
148,Dragonair,61,84,65,70,70,70,70,00,7,09,420
149,Dragonite,91,134,95,100,100,80,100,00,16,64,600
150,Mewtwo,106,110,90,154,90,130,113,33,22,68,680
151,Mew,100,100,100,100,100,100,100,00,0,00,600
152,Chikorita,45,49,65,49,65,45,53,00,8,64,318
153,Bayleef,60,62,80,63,80,60,67,50,8,90,405
154,Meganium,80,82,100,83,100,80,87,50,8,90,525
155,Cyndaquil,39,52,43,60,50,65,51,50,9,00,309
156,Quilava,58,64,58,80,65,80,67,50,9,23,405
157,Typhlosion,78,84,78,109,85,100,89,00,11,58,534
158,Totodile,50,65,64,44,48,43,52,33,8,92,314
159,Croconaw,65,80,80,59,63,58,67,50,9,14,405
160,Feraligatr,85,105,100,79,83,78,88,33,10,39,530
161,Sentret,35,46,34,35,45,20,35,83,8,59,215
162,Furret,85,76,64,45,55,90,69,17,16,04,415
163,Hoothoot,60,30,30,36,56,50,43,67,12,19,262
164,Noctowl,100,50,50,76,96,70,73,67,19,71,442
165,Ledyba,40,20,30,40,80,55,44,17,19,24,265
166,Ledian,55,35,50,55,110,85,65,00,25,00,390
